docID,word,startPos,endPos,label,bag,preWord,postWord
289,intelligent,0,10,0,1,NA,moving
289,moving,12,17,0,1,intelligent,beautiful
289,beautiful,19,27,0,1,moving,film
289,film,29,32,0,1,beautiful,study
289,study,34,38,0,1,film,ways
289,ways,40,43,0,1,study,people
289,people,45,50,0,1,ways,react
289,react,52,56,0,1,people,tradition
289,tradition,58,66,0,1,react,reminds
289,reminds,68,74,0,1,tradition,William
289,William,76,82,0,1,reminds,Faulkners
289,Faulkners,84,92,0,1,William,novelsbr
289,novelsbr,94,101,0,1,Faulkners,br
289,br,103,104,0,1,novelsbr,characters
289,characters,106,115,0,1,br,feel
289,feel,117,120,0,1,characters,trapped
289,trapped,122,128,0,1,feel,weight
289,weight,130,135,0,1,trapped,roles
289,roles,137,141,0,1,weight,expected
289,expected,143,150,0,1,roles,assume
289,assume,152,157,0,1,expected,seek
289,seek,159,162,0,1,assume,way
289,way,164,166,0,1,seek,live
289,live,168,171,0,1,way,within
289,within,173,178,0,1,live,roles
289,roles,180,184,0,1,within,rather
289,rather,186,191,0,1,roles,throw
289,throw,193,197,0,1,rather,altogether
289,altogether,199,208,0,1,throw,story
289,story,210,214,0,1,altogether,develops
289,develops,216,223,0,1,story,two
289,two,225,227,0,1,develops,wives
289,wives,229,233,0,1,two,trapped
289,trapped,235,241,0,1,wives,loveless
289,loveless,243,250,0,1,trapped,marriages
289,marriages,252,260,0,1,loveless,draw
289,draw,262,265,0,1,marriages,together
289,together,267,274,0,1,draw,Drawing
289,Drawing,276,282,0,1,together,strength
289,strength,284,291,0,1,Drawing,friendship
289,friendship,293,302,0,1,strength,love
289,love,304,307,0,1,friendship,give
289,give,309,312,0,1,love,courage
289,courage,314,320,0,1,give,abandon
289,abandon,322,328,0,1,courage,rolesbr
289,rolesbr,330,336,0,1,abandon,br
289,br,338,339,0,1,rolesbr,found
289,found,341,345,0,1,br,living
289,living,347,352,0,1,found,within
289,within,354,359,0,1,living,traditions
289,traditions,361,370,0,1,within,life
289,life,372,375,0,1,traditions,sort
289,sort,377,380,0,1,life,living
289,living,382,387,0,1,sort,death
289,death,389,393,0,1,living,without
289,without,395,401,0,1,death,passion
289,passion,403,409,0,1,without,without
289,without,411,417,0,1,passion,true
289,true,419,422,0,1,without,connection
289,connection,424,433,0,1,true,others
289,others,435,440,0,1,connection,without
289,without,442,448,0,1,others,fulfillment
289,fulfillment,450,460,0,1,without,Although
289,Although,462,469,0,1,fulfillment,know
289,know,471,474,0,1,Although,price
289,price,476,480,0,1,know,paid
289,paid,482,485,0,1,price,rebellion
289,rebellion,487,495,0,1,paid,freedom
289,freedom,497,503,0,1,rebellion,price
289,price,505,509,0,1,freedom,much
289,much,511,514,0,1,price,less
289,less,516,519,0,1,much,dear
289,dear,521,524,0,1,less,sacrifice
289,sacrifice,526,534,0,1,dear,called
289,called,536,541,0,1,sacrifice,comfortable
289,comfortable,543,553,0,1,called,predictable
289,predictable,555,565,0,1,comfortable,existencebr
289,existencebr,567,577,0,1,predictable,br
289,br,579,580,0,1,existencebr,screenplay
289,screenplay,582,591,0,1,br,wonderful
289,wonderful,593,601,0,1,screenplay,acting
289,acting,603,608,0,1,wonderful,marvelous
289,marvelous,610,618,0,1,acting,Near
289,Near,620,623,0,1,marvelous,NA
289,intelligent moving,0,17,0,2,NA,beautiful
289,moving beautiful,12,27,0,2,intelligent,film
289,beautiful film,19,32,0,2,moving,study
289,film study,29,38,0,2,beautiful,ways
289,study ways,34,43,0,2,film,people
289,ways people,40,50,0,2,study,react
289,people react,45,56,0,2,ways,tradition
289,react tradition,52,66,0,2,people,reminds
289,tradition reminds,58,74,0,2,react,William
289,reminds William,68,82,0,2,tradition,Faulkners
289,William Faulkners,76,92,1,2,reminds,novelsbr
289,Faulkners novelsbr,84,101,0,2,William,br
289,novelsbr br,94,104,0,2,Faulkners,characters
289,br characters,103,115,0,2,novelsbr,feel
289,characters feel,106,120,0,2,br,trapped
289,feel trapped,117,128,0,2,characters,weight
289,trapped weight,122,135,0,2,feel,roles
289,weight roles,130,141,0,2,trapped,expected
289,roles expected,137,150,0,2,weight,assume
289,expected assume,143,157,0,2,roles,seek
289,assume seek,152,162,0,2,expected,way
289,seek way,159,166,0,2,assume,live
289,way live,164,171,0,2,seek,within
289,live within,168,178,0,2,way,roles
289,within roles,173,184,0,2,live,rather
289,roles rather,180,191,0,2,within,throw
289,rather throw,186,197,0,2,roles,altogether
289,throw altogether,193,208,0,2,rather,story
289,altogether story,199,214,0,2,throw,develops
289,story develops,210,223,0,2,altogether,two
289,develops two,216,227,0,2,story,wives
289,two wives,225,233,0,2,develops,trapped
289,wives trapped,229,241,0,2,two,loveless
289,trapped loveless,235,250,0,2,wives,marriages
289,loveless marriages,243,260,0,2,trapped,draw
289,marriages draw,252,265,0,2,loveless,together
289,draw together,262,274,0,2,marriages,Drawing
289,together Drawing,267,282,0,2,draw,strength
289,Drawing strength,276,291,0,2,together,friendship
289,strength friendship,284,302,0,2,Drawing,love
289,friendship love,293,307,0,2,strength,give
289,love give,304,312,0,2,friendship,courage
289,give courage,309,320,0,2,love,abandon
289,courage abandon,314,328,0,2,give,rolesbr
289,abandon rolesbr,322,336,0,2,courage,br
289,rolesbr br,330,339,0,2,abandon,found
289,br found,338,345,0,2,rolesbr,living
289,found living,341,352,0,2,br,within
289,living within,347,359,0,2,found,traditions
289,within traditions,354,370,0,2,living,life
289,traditions life,361,375,0,2,within,sort
289,life sort,372,380,0,2,traditions,living
289,sort living,377,387,0,2,life,death
289,living death,382,393,0,2,sort,without
289,death without,389,401,0,2,living,passion
289,without passion,395,409,0,2,death,without
289,passion without,403,417,0,2,without,true
289,without true,411,422,0,2,passion,connection
289,true connection,419,433,0,2,without,others
289,connection others,424,440,0,2,true,without
289,others without,435,448,0,2,connection,fulfillment
289,without fulfillment,442,460,0,2,others,Although
289,fulfillment Although,450,469,0,2,without,know
289,Although know,462,474,0,2,fulfillment,price
289,know price,471,480,0,2,Although,paid
289,price paid,476,485,0,2,know,rebellion
289,paid rebellion,482,495,0,2,price,freedom
289,rebellion freedom,487,503,0,2,paid,price
289,freedom price,497,509,0,2,rebellion,much
289,price much,505,514,0,2,freedom,less
289,much less,511,519,0,2,price,dear
289,less dear,516,524,0,2,much,sacrifice
289,dear sacrifice,521,534,0,2,less,called
289,sacrifice called,526,541,0,2,dear,comfortable
289,called comfortable,536,553,0,2,sacrifice,predictable
289,comfortable predictable,543,565,0,2,called,existencebr
289,predictable existencebr,555,577,0,2,comfortable,br
289,existencebr br,567,580,0,2,predictable,screenplay
289,br screenplay,579,591,0,2,existencebr,wonderful
289,screenplay wonderful,582,601,0,2,br,acting
289,wonderful acting,593,608,0,2,screenplay,marvelous
289,acting marvelous,603,618,0,2,wonderful,Near
289,marvelous Near,610,623,0,2,acting,NA
289,intelligent moving beautiful,0,27,0,3,NA,film
289,moving beautiful film,12,32,0,3,intelligent,study
289,beautiful film study,19,38,0,3,moving,ways
289,film study ways,29,43,0,3,beautiful,people
289,study ways people,34,50,0,3,film,react
289,ways people react,40,56,0,3,study,tradition
289,people react tradition,45,66,0,3,ways,reminds
289,react tradition reminds,52,74,0,3,people,William
289,tradition reminds William,58,82,0,3,react,Faulkners
289,reminds William Faulkners,68,92,0,3,tradition,novelsbr
289,William Faulkners novelsbr,76,101,0,3,reminds,br
289,Faulkners novelsbr br,84,104,0,3,William,characters
289,novelsbr br characters,94,115,0,3,Faulkners,feel
289,br characters feel,103,120,0,3,novelsbr,trapped
289,characters feel trapped,106,128,0,3,br,weight
289,feel trapped weight,117,135,0,3,characters,roles
289,trapped weight roles,122,141,0,3,feel,expected
289,weight roles expected,130,150,0,3,trapped,assume
289,roles expected assume,137,157,0,3,weight,seek
289,expected assume seek,143,162,0,3,roles,way
289,assume seek way,152,166,0,3,expected,live
289,seek way live,159,171,0,3,assume,within
289,way live within,164,178,0,3,seek,roles
289,live within roles,168,184,0,3,way,rather
289,within roles rather,173,191,0,3,live,throw
289,roles rather throw,180,197,0,3,within,altogether
289,rather throw altogether,186,208,0,3,roles,story
289,throw altogether story,193,214,0,3,rather,develops
289,altogether story develops,199,223,0,3,throw,two
289,story develops two,210,227,0,3,altogether,wives
289,develops two wives,216,233,0,3,story,trapped
289,two wives trapped,225,241,0,3,develops,loveless
289,wives trapped loveless,229,250,0,3,two,marriages
289,trapped loveless marriages,235,260,0,3,wives,draw
289,loveless marriages draw,243,265,0,3,trapped,together
289,marriages draw together,252,274,0,3,loveless,Drawing
289,draw together Drawing,262,282,0,3,marriages,strength
289,together Drawing strength,267,291,0,3,draw,friendship
289,Drawing strength friendship,276,302,0,3,together,love
289,strength friendship love,284,307,0,3,Drawing,give
289,friendship love give,293,312,0,3,strength,courage
289,love give courage,304,320,0,3,friendship,abandon
289,give courage abandon,309,328,0,3,love,rolesbr
289,courage abandon rolesbr,314,336,0,3,give,br
289,abandon rolesbr br,322,339,0,3,courage,found
289,rolesbr br found,330,345,0,3,abandon,living
289,br found living,338,352,0,3,rolesbr,within
289,found living within,341,359,0,3,br,traditions
289,living within traditions,347,370,0,3,found,life
289,within traditions life,354,375,0,3,living,sort
289,traditions life sort,361,380,0,3,within,living
289,life sort living,372,387,0,3,traditions,death
289,sort living death,377,393,0,3,life,without
289,living death without,382,401,0,3,sort,passion
289,death without passion,389,409,0,3,living,without
289,without passion without,395,417,0,3,death,true
289,passion without true,403,422,0,3,without,connection
289,without true connection,411,433,0,3,passion,others
289,true connection others,419,440,0,3,without,without
289,connection others without,424,448,0,3,true,fulfillment
289,others without fulfillment,435,460,0,3,connection,Although
289,without fulfillment Although,442,469,0,3,others,know
289,fulfillment Although know,450,474,0,3,without,price
289,Although know price,462,480,0,3,fulfillment,paid
289,know price paid,471,485,0,3,Although,rebellion
289,price paid rebellion,476,495,0,3,know,freedom
289,paid rebellion freedom,482,503,0,3,price,price
289,rebellion freedom price,487,509,0,3,paid,much
289,freedom price much,497,514,0,3,rebellion,less
289,price much less,505,519,0,3,freedom,dear
289,much less dear,511,524,0,3,price,sacrifice
289,less dear sacrifice,516,534,0,3,much,called
289,dear sacrifice called,521,541,0,3,less,comfortable
289,sacrifice called comfortable,526,553,0,3,dear,predictable
289,called comfortable predictable,536,565,0,3,sacrifice,existencebr
289,comfortable predictable existencebr,543,577,0,3,called,br
289,predictable existencebr br,555,580,0,3,comfortable,screenplay
289,existencebr br screenplay,567,591,0,3,predictable,wonderful
289,br screenplay wonderful,579,601,0,3,existencebr,acting
289,screenplay wonderful acting,582,608,0,3,br,marvelous
289,wonderful acting marvelous,593,618,0,3,screenplay,Near
289,acting marvelous Near,603,623,0,3,wonderful,NA
289,intelligent moving beautiful film,0,32,0,4,NA,study
289,moving beautiful film study,12,38,0,4,intelligent,ways
289,beautiful film study ways,19,43,0,4,moving,people
289,film study ways people,29,50,0,4,beautiful,react
289,study ways people react,34,56,0,4,film,tradition
289,ways people react tradition,40,66,0,4,study,reminds
289,people react tradition reminds,45,74,0,4,ways,William
289,react tradition reminds William,52,82,0,4,people,Faulkners
289,tradition reminds William Faulkners,58,92,0,4,react,novelsbr
289,reminds William Faulkners novelsbr,68,101,0,4,tradition,br
289,William Faulkners novelsbr br,76,104,0,4,reminds,characters
289,Faulkners novelsbr br characters,84,115,0,4,William,feel
289,novelsbr br characters feel,94,120,0,4,Faulkners,trapped
289,br characters feel trapped,103,128,0,4,novelsbr,weight
289,characters feel trapped weight,106,135,0,4,br,roles
289,feel trapped weight roles,117,141,0,4,characters,expected
289,trapped weight roles expected,122,150,0,4,feel,assume
289,weight roles expected assume,130,157,0,4,trapped,seek
289,roles expected assume seek,137,162,0,4,weight,way
289,expected assume seek way,143,166,0,4,roles,live
289,assume seek way live,152,171,0,4,expected,within
289,seek way live within,159,178,0,4,assume,roles
289,way live within roles,164,184,0,4,seek,rather
289,live within roles rather,168,191,0,4,way,throw
289,within roles rather throw,173,197,0,4,live,altogether
289,roles rather throw altogether,180,208,0,4,within,story
289,rather throw altogether story,186,214,0,4,roles,develops
289,throw altogether story develops,193,223,0,4,rather,two
289,altogether story develops two,199,227,0,4,throw,wives
289,story develops two wives,210,233,0,4,altogether,trapped
289,develops two wives trapped,216,241,0,4,story,loveless
289,two wives trapped loveless,225,250,0,4,develops,marriages
