docID,word,startPos,endPos,label,bag,preWord,postWord
29,Home,0,3,0,1,NA,Room
29,Room,5,8,0,1,Home,great
29,great,10,14,0,1,Room,movie
29,movie,16,20,0,1,great,youve
29,youve,22,26,0,1,movie,ever
29,ever,28,31,0,1,youve,drama
29,drama,33,37,0,1,ever,life
29,life,39,42,0,1,drama,keeps
29,keeps,44,48,0,1,life,wanting
29,wanting,50,56,0,1,keeps,see
29,see,58,60,0,1,wanting,Wondering
29,Wondering,62,70,0,1,see,secret
29,secret,72,77,0,1,Wondering,Alicia
29,Alicia,79,84,0,1,secret,hiding
29,hiding,86,91,0,1,Alicia,think
29,think,93,97,0,1,hiding,watched
29,watched,99,105,0,1,think,movie
29,movie,107,111,0,1,watched,times
29,times,113,117,0,1,movie,row
29,row,119,121,0,1,times,never
29,never,123,127,0,1,row,lost
29,lost,129,132,0,1,never,interest
29,interest,134,141,0,1,lost,Plus
29,Plus,143,146,0,1,interest,usually
29,usually,148,154,0,1,Plus,dont
29,dont,156,159,0,1,usually,cry
29,cry,161,163,0,1,dont,movies
29,movies,165,170,0,1,cry,one
29,one,172,174,0,1,movies,made
29,made,176,179,0,1,one,cry
29,cry,181,183,0,1,made,time
29,time,185,188,0,1,cry,wish
29,wish,190,193,0,1,time,could
29,could,195,199,0,1,wish,find
29,find,201,204,0,1,could,movies
29,movies,206,211,0,1,find,like
29,like,213,216,0,1,movies,one
29,one,218,220,0,1,like,thought
29,thought,222,228,0,1,one,great
29,great,230,234,0,1,thought,movie
29,movie,236,240,0,1,great,watch
29,watch,242,246,0,1,movie,become
29,become,248,253,0,1,watch,part
29,part,255,258,0,1,become,end
29,end,260,262,0,1,part,part
29,part,264,267,0,1,end,really
29,really,269,274,0,1,part,got
29,got,276,278,0,1,really,cried
29,cried,280,284,0,1,got,getting
29,getting,286,292,0,1,cried,diploma
29,diploma,294,300,0,1,getting,daughters
29,daughters,302,310,0,1,diploma,name
29,name,312,315,0,1,daughters,heart
29,heart,317,321,0,1,name,felt
29,felt,323,326,0,1,heart,shattered
29,shattered,328,336,0,1,felt,new
29,new,338,340,0,1,shattered,friend
29,friend,342,347,0,1,new,came
29,came,349,352,0,1,friend,comfort
29,comfort,354,360,0,1,came,hadnt
29,hadnt,362,366,0,1,comfort,gotten
29,gotten,368,373,0,1,hadnt,yet
29,yet,375,377,0,1,gotten,loved
29,loved,379,383,0,1,yet,NA
29,Home Room,0,8,0,2,NA,great
29,Room great,5,14,0,2,Home,movie
29,great movie,10,20,0,2,Room,youve
29,movie youve,16,26,0,2,great,ever
29,youve ever,22,31,0,2,movie,drama
29,ever drama,28,37,0,2,youve,life
29,drama life,33,42,0,2,ever,keeps
29,life keeps,39,48,0,2,drama,wanting
29,keeps wanting,44,56,0,2,life,see
29,wanting see,50,60,0,2,keeps,Wondering
29,see Wondering,58,70,0,2,wanting,secret
29,Wondering secret,62,77,0,2,see,Alicia
29,secret Alicia,72,84,0,2,Wondering,hiding
29,Alicia hiding,79,91,0,2,secret,think
29,hiding think,86,97,0,2,Alicia,watched
29,think watched,93,105,0,2,hiding,movie
29,watched movie,99,111,0,2,think,times
29,movie times,107,117,0,2,watched,row
29,times row,113,121,0,2,movie,never
29,row never,119,127,0,2,times,lost
29,never lost,123,132,0,2,row,interest
29,lost interest,129,141,0,2,never,Plus
29,interest Plus,134,146,0,2,lost,usually
29,Plus usually,143,154,0,2,interest,dont
29,usually dont,148,159,0,2,Plus,cry
29,dont cry,156,163,0,2,usually,movies
29,cry movies,161,170,0,2,dont,one
29,movies one,165,174,0,2,cry,made
29,one made,172,179,0,2,movies,cry
29,made cry,176,183,0,2,one,time
29,cry time,181,188,0,2,made,wish
29,time wish,185,193,0,2,cry,could
29,wish could,190,199,0,2,time,find
29,could find,195,204,0,2,wish,movies
29,find movies,201,211,0,2,could,like
29,movies like,206,216,0,2,find,one
29,like one,213,220,0,2,movies,thought
29,one thought,218,228,0,2,like,great
29,thought great,222,234,0,2,one,movie
29,great movie,230,240,0,2,thought,watch
29,movie watch,236,246,0,2,great,become
29,watch become,242,253,0,2,movie,part
29,become part,248,258,0,2,watch,end
29,part end,255,262,0,2,become,part
29,end part,260,267,0,2,part,really
29,part really,264,274,0,2,end,got
29,really got,269,278,0,2,part,cried
29,got cried,276,284,0,2,really,getting
29,cried getting,280,292,0,2,got,diploma
29,getting diploma,286,300,0,2,cried,daughters
29,diploma daughters,294,310,0,2,getting,name
29,daughters name,302,315,0,2,diploma,heart
29,name heart,312,321,0,2,daughters,felt
29,heart felt,317,326,0,2,name,shattered
29,felt shattered,323,336,0,2,heart,new
29,shattered new,328,340,0,2,felt,friend
29,new friend,338,347,0,2,shattered,came
29,friend came,342,352,0,2,new,comfort
29,came comfort,349,360,0,2,friend,hadnt
29,comfort hadnt,354,366,0,2,came,gotten
29,hadnt gotten,362,373,0,2,comfort,yet
29,gotten yet,368,377,0,2,hadnt,loved
29,yet loved,375,383,0,2,gotten,NA
29,Home Room great,0,14,0,3,NA,movie
29,Room great movie,5,20,0,3,Home,youve
29,great movie youve,10,26,0,3,Room,ever
29,movie youve ever,16,31,0,3,great,drama
29,youve ever drama,22,37,0,3,movie,life
29,ever drama life,28,42,0,3,youve,keeps
29,drama life keeps,33,48,0,3,ever,wanting
29,life keeps wanting,39,56,0,3,drama,see
29,keeps wanting see,44,60,0,3,life,Wondering
29,wanting see Wondering,50,70,0,3,keeps,secret
29,see Wondering secret,58,77,0,3,wanting,Alicia
29,Wondering secret Alicia,62,84,0,3,see,hiding
29,secret Alicia hiding,72,91,0,3,Wondering,think
29,Alicia hiding think,79,97,0,3,secret,watched
29,hiding think watched,86,105,0,3,Alicia,movie
29,think watched movie,93,111,0,3,hiding,times
29,watched movie times,99,117,0,3,think,row
29,movie times row,107,121,0,3,watched,never
29,times row never,113,127,0,3,movie,lost
29,row never lost,119,132,0,3,times,interest
29,never lost interest,123,141,0,3,row,Plus
29,lost interest Plus,129,146,0,3,never,usually
29,interest Plus usually,134,154,0,3,lost,dont
29,Plus usually dont,143,159,0,3,interest,cry
29,usually dont cry,148,163,0,3,Plus,movies
29,dont cry movies,156,170,0,3,usually,one
29,cry movies one,161,174,0,3,dont,made
29,movies one made,165,179,0,3,cry,cry
29,one made cry,172,183,0,3,movies,time
29,made cry time,176,188,0,3,one,wish
29,cry time wish,181,193,0,3,made,could
29,time wish could,185,199,0,3,cry,find
29,wish could find,190,204,0,3,time,movies
29,could find movies,195,211,0,3,wish,like
29,find movies like,201,216,0,3,could,one
29,movies like one,206,220,0,3,find,thought
29,like one thought,213,228,0,3,movies,great
29,one thought great,218,234,0,3,like,movie
29,thought great movie,222,240,0,3,one,watch
29,great movie watch,230,246,0,3,thought,become
29,movie watch become,236,253,0,3,great,part
29,watch become part,242,258,0,3,movie,end
29,become part end,248,262,0,3,watch,part
29,part end part,255,267,0,3,become,really
29,end part really,260,274,0,3,part,got
29,part really got,264,278,0,3,end,cried
29,really got cried,269,284,0,3,part,getting
29,got cried getting,276,292,0,3,really,diploma
29,cried getting diploma,280,300,0,3,got,daughters
29,getting diploma daughters,286,310,0,3,cried,name
29,diploma daughters name,294,315,0,3,getting,heart
29,daughters name heart,302,321,0,3,diploma,felt
29,name heart felt,312,326,0,3,daughters,shattered
29,heart felt shattered,317,336,0,3,name,new
29,felt shattered new,323,340,0,3,heart,friend
29,shattered new friend,328,347,0,3,felt,came
29,new friend came,338,352,0,3,shattered,comfort
29,friend came comfort,342,360,0,3,new,hadnt
29,came comfort hadnt,349,366,0,3,friend,gotten
29,comfort hadnt gotten,354,373,0,3,came,yet
29,hadnt gotten yet,362,377,0,3,comfort,loved
29,gotten yet loved,368,383,0,3,hadnt,NA
29,Home Room great movie,0,20,0,4,NA,youve
29,Room great movie youve,5,26,0,4,Home,ever
29,great movie youve ever,10,31,0,4,Room,drama
29,movie youve ever drama,16,37,0,4,great,life
29,youve ever drama life,22,42,0,4,movie,keeps
29,ever drama life keeps,28,48,0,4,youve,wanting
29,drama life keeps wanting,33,56,0,4,ever,see
29,life keeps wanting see,39,60,0,4,drama,Wondering
29,keeps wanting see Wondering,44,70,0,4,life,secret
29,wanting see Wondering secret,50,77,0,4,keeps,Alicia
29,see Wondering secret Alicia,58,84,0,4,wanting,hiding
29,Wondering secret Alicia hiding,62,91,0,4,see,think
29,secret Alicia hiding think,72,97,0,4,Wondering,watched
29,Alicia hiding think watched,79,105,0,4,secret,movie
29,hiding think watched movie,86,111,0,4,Alicia,times
29,think watched movie times,93,117,0,4,hiding,row
